crash_id,state,remoteness,sa4_name,lga_name,road_type
20241115,NSW,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road
20241125,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road
20246013,TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,Local Road
20241002,NSW,Outer Regional Australia,New England and North West,Armidale,National or State Highway
20243185,QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,National or State Highway
20244016,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,Sub-arterial Road
20243168,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road
20246003,TAS,Inner Regional Australia,Hobart,Brighton,Local Road
20246001,TAS,Outer Regional Australia,Launceston and North East,West Tamar,National or State Highway
20244081,SA,Outer Regional Australia,South Australia - South East,Mid Murray,Local Road
20241087,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,National or State Highway
20241054,NSW,Inner Regional Australia,Capital Region,Upper Lachlan,National or State Highway
20244042,SA,Outer Regional Australia,South Australia - South East,Wattle Range,Local Road
20243246,QLD,Outer Regional Australia,Cairns,Cairns,Collector Road
20241101,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway
20241216,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road
20241300,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway
20243007,QLD,Outer Regional Australia,Wide Bay,South Burnett,National or State Highway
20241278,NSW,Outer Regional Australia,Central West,Mid-Western,Arterial Road
20241149,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road
20241068,NSW,Outer Regional Australia,Murray,Greater Hume,National or State Highway
20243273,QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road
20244020,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Sub-arterial Road
20244055,SA,Outer Regional Australia,South Australia - South East,Wattle Range,National or State Highway
20241094,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway
20243160,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway
20243209,QLD,Outer Regional Australia,Cairns,Douglas,Local Road
20244001,SA,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road
20243243,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Sub-arterial Road
20246016,TAS,Outer Regional Australia,Launceston and North East,Dorset,National or State Highway
20241119,NSW,Inner Regional Australia,New England and North West,Armidale,Local Road
20241169,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,National or State Highway
20241291,NSW,Outer Regional Australia,Far West and Orana,Narromine,National or State Highway
20243036,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Local Road
20244026,SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,Local Road
20241077,NSW,Major Cities of Australia,Illawarra,Shellharbour,Collector Road
20241028,NSW,Major Cities of Australia,Illawarra,Wollongong,Collector Road
20241022,NSW,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road
20243015,QLD,Inner Regional Australia,Logan - Beaudesert,Logan,Local Road
20244023,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Sub-arterial Road
20241098,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,Sub-arterial Road
20243114,QLD,Remote Australia,Queensland - Outback,Cook,Sub-arterial Road
20241040,NSW,Outer Regional Australia,New England and North West,Tenterfield,National or State Highway
20241174,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road
20241088,NSW,Outer Regional Australia,New England and North West,Tamworth,Arterial Road
20241255,NSW,Inner Regional Australia,Capital Region,Hilltops,Arterial Road
20241053,NSW,Outer Regional Australia,Central West,Forbes,Arterial Road
20243046,QLD,Inner Regional Australia,Toowoomba,Toowoomba,Collector Road
20241080,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road
20243044,QLD,Remote Australia,Central Queensland,Livingstone,National or State Highway
20241274,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,National or State Highway
20243176,QLD,Outer Regional Australia,Cairns,Cairns,Collector Road
20241181,NSW,Outer Regional Australia,Murray,Balranald,National or State Highway
20243110,QLD,Very Remote Australia,Queensland - Outback,Lockhart River,Local Road
20244044,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Sub-arterial Road
20243147,QLD,Outer Regional Australia,Cairns,Cassowary Coast,National or State Highway
20244019,SA,Remote Australia,South Australia - Outback,Tumby Bay,Collector Road
20241194,NSW,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road
20241139,NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Local Road
20241197,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,National or State Highway
20243220,QLD,Outer Regional Australia,Cairns,Cassowary Coast,Collector Road
20243267,QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,National or State Highway
20241057,NSW,Inner Regional Australia,Richmond - Tweed,Ballina,National or State Highway
20243174,QLD,Inner Regional Australia,Logan - Beaudesert,Logan,National or State Highway
20241166,NSW,Inner Regional Australia,Richmond - Tweed,Kyogle,Sub-arterial Road
20243213,QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway
20241096,NSW,Outer Regional Australia,New England and North West,Tenterfield,National or State Highway
20242089,VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Arterial Road
20243073,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Sub-arterial Road
20241027,NSW,Outer Regional Australia,Riverina,Snowy Valleys,National or State Highway
20241163,NSW,Outer Regional Australia,New England and North West,Tamworth,Sub-arterial Road
20243143,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,Local Road
20241222,NSW,Major Cities of Australia,Sydney - South West,Fairfield,National or State Highway
20241218,NSW,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway
20243249,QLD,Remote Australia,Central Queensland,Central Highlands (Qld),Collector Road
20243098,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road
20241306,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Collector Road
20243037,QLD,Outer Regional Australia,Cairns,Cairns,Local Road
20244083,SA,Major Cities of Australia,Adelaide - North,Salisbury,Local Road
20241196,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Sub-arterial Road
20244028,SA,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road
20243038,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road
20242023,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Sub-arterial Road
20242230,VIC,Inner Regional Australia,Warrnambool and South West,Moyne,Arterial Road
20242127,VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Collector Road
20242120,VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,Arterial Road
20241106,NSW,Inner Regional Australia,Richmond - Tweed,Ballina,Sub-arterial Road
20241230,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Arterial Road
20241055,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Local Road
20241267,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Local Road
20242260,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Arterial Road
20242057,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Arterial Road
20243153,QLD,Very Remote Australia,Queensland - Outback,Mareeba,Sub-arterial Road
20242161,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Sub-arterial Road
20241236,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road
20243172,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Pedestrian Thoroughfare
20241188,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway
20243191,QLD,Inner Regional Australia,Ipswich,Ipswich,Sub-arterial Road
20241256,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Arterial Road
20242019,VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,National or State Highway
20243008,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Collector Road
20243001,QLD,Outer Regional Australia,Cairns,Douglas,National or State Highway
20243041,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Sub-arterial Road
20244021,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Arterial Road
20243113,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Local Road
20241107,NSW,Outer Regional Australia,Central West,Cabonne,Arterial Road
20243022,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road
20248002,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Arterial Road
20242088,VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Sub-arterial Road
20241173,NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway
20241004,NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road
20246004,TAS,Outer Regional Australia,Launceston and North East,Meander Valley,National or State Highway
20241201,NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang,Local Road
20241029,NSW,Outer Regional Australia,Capital Region,Snowy Monaro,National or State Highway
20243005,QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway
20241261,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway
20244024,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Local Road
20241215,NSW,Outer Regional Australia,Murray,Federation,National or State Highway
20243186,QLD,Inner Regional Australia,Toowoomba,Toowoomba,Local Road
20243208,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Sub-arterial Road
20241134,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road
20243040,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway
20241263,NSW,Inner Regional Australia,Central West,Cowra,Local Road
20241302,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National or State Highway
20241147,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Collector Road
20243248,QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Local Road
20243096,QLD,Inner Regional Australia,Wide Bay,Gympie,Local Road
20241150,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Arterial Road
20241247,NSW,Inner Regional Australia,Capital Region,Shoalhaven,National or State Highway
20241234,NSW,Inner Regional Australia,Capital Region,Queanbeyan-Palerang,Arterial Road
20242110,VIC,Inner Regional Australia,Bendigo,Greater Bendigo,National or State Highway
20242052,VIC,Inner Regional Australia,Melbourne - North East,Nillumbik,Arterial Road
20243247,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Sub-arterial Road
20243144,QLD,Inner Regional Australia,Central Queensland,Rockhampton,National or State Highway
20241235,NSW,Inner Regional Australia,Illawarra,Wollongong,Arterial Road
20243087,QLD,Inner Regional Australia,Wide Bay,South Burnett,Collector Road
20244061,SA,Remote Australia,South Australia - South East,Tatiara,National or State Highway
20241009,NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road
20241072,NSW,Outer Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road
20243129,QLD,Major Cities of Australia,Ipswich,Ipswich,National or State Highway
20242219,VIC,Inner Regional Australia,North West,Ararat,National or State Highway
20241219,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road
20244010,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Arterial Road
20244040,SA,Major Cities of Australia,Adelaide - North,Salisbury,Collector Road
20243171,QLD,Outer Regional Australia,Cairns,Cairns,National or State Highway
20242075,VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Arterial Road
20243079,QLD,Very Remote Australia,Queensland - Outback,McKinlay,Sub-arterial Road
20241045,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Local Road
20243017,QLD,Outer Regional Australia,Central Queensland,Gladstone,National or State Highway
20241160,NSW,Inner Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road
20241081,NSW,Inner Regional Australia,Central West,Lithgow,National or State Highway
20241135,NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway
20241209,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),National or State Highway
20242140,VIC,Inner Regional Australia,Warrnambool and South West,Moyne,National or State Highway
20242142,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Sub-arterial Road
20243107,QLD,Outer Regional Australia,Cairns,Cairns,Sub-arterial Road
20243020,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Local Road
20241151,NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,Local Road
20243158,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,National or State Highway
20241286,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,Arterial Road
20243102,QLD,Major Cities of Australia,Sunshine Coast,Noosa,Sub-arterial Road
