person_id,crash_id,gender,age,road_user,age_group
1,20241115,Male,74,Driver,65_to_74
2,20241125,Female,19,Driver,17_to_25
3,20246013,Female,33,Driver,26_to_39
4,20241002,Female,32,Driver,26_to_39
5,20243185,Female,61,Passenger,40_to_64
6,20244016,Male,47,Motorcycle rider,40_to_64
7,20243168,Female,29,Passenger,26_to_39
8,20246003,Male,19,Motorcycle rider,17_to_25
9,20246001,Female,55,Driver,40_to_64
10,20244081,Female,45,Driver,40_to_64
11,20241087,Male,50,Pedestrian,40_to_64
12,20241054,Male,45,Driver,40_to_64
13,20244042,Male,61,Driver,40_to_64
14,20243246,Male,74,Pedestrian,65_to_74
15,20241101,Male,25,Driver,17_to_25
16,20241216,Male,4,Pedestrian,0_to_16
17,20241300,Male,27,Driver,26_to_39
18,20243007,Male,66,Driver,65_to_74
19,20241278,Male,27,Driver,26_to_39
20,20241149,Female,65,Pedestrian,65_to_74
21,20241068,Male,32,Driver,26_to_39
22,20243273,Male,25,Driver,17_to_25
23,20244020,Male,69,Motorcycle rider,65_to_74
24,20244055,Female,59,Driver,40_to_64
25,20244055,Female,68,Passenger,65_to_74
26,20241094,Male,69,Motorcycle rider,65_to_74
27,20243160,Female,68,Passenger,65_to_74
28,20243160,Male,76,Driver,75_or_older
29,20243209,Male,35,Motorcycle rider,26_to_39
30,20244001,Male,55,Motorcycle rider,40_to_64
31,20243243,Male,63,Motorcycle rider,40_to_64
32,20246016,Female,66,Passenger,65_to_74
33,20241119,Male,61,Pedal cyclist,40_to_64
34,20241119,Female,30,Driver,26_to_39
35,20241169,Male,34,Driver,26_to_39
36,20241291,Male,26,Driver,26_to_39
37,20243036,Male,46,Motorcycle rider,40_to_64
38,20244026,Female,50,Pedestrian,40_to_64
39,20241077,Female,85,Pedestrian,75_or_older
40,20241028,Female,92,Driver,75_or_older
41,20241022,Male,76,Driver,75_or_older
42,20243015,Male,60,Motorcycle rider,40_to_64
43,20244023,Female,74,Driver,65_to_74
44,20241098,Male,26,Motorcycle rider,26_to_39
45,20243114,Female,60,Driver,40_to_64
46,20243114,Female,59,Passenger,40_to_64
47,20241040,Male,45,Motorcycle rider,40_to_64
48,20241174,Female,90,Driver,75_or_older
