crash_id,year,month,day_of_week,time_of_day,christmas,easter
20241115,2024,12,Weekday,Night,Yes,No
20241125,2024,12,Weekday,Day,No,No
20246013,2024,12,Weekday,Day,Yes,No
20241002,2024,12,Weekday,Day,No,No
20243185,2024,12,Weekday,Day,No,No
20244016,2024,12,Weekday,Day,Yes,No
20243168,2024,12,Weekend,Night,No,No
20246003,2024,12,Weekend,Night,No,No
20246001,2024,12,Weekend,Night,No,No
20244081,2024,12,Weekend,Night,No,No
20241087,2024,12,Weekend,Night,No,No
20241054,2024,12,Weekend,Night,No,No
20244042,2024,12,Weekend,Night,No,No
20243246,2024,12,Weekday,Day,No,No
20241101,2024,12,Weekday,Day,No,No
20241216,2024,12,Weekday,Day,Yes,No
20241300,2024,12,Weekday,Day,No,No
20243007,2024,12,Weekday,Day,Yes,No
20241278,2024,12,Weekday,Day,No,No
20241149,2024,12,Weekday,Day,No,No
20241068,2024,12,Weekend,Night,No,No
20243273,2024,12,Weekend,Night,No,No
20244020,2024,12,Weekend,Day,No,No
20244055,2024,12,Weekend,Day,Yes,No
20241094,2024,12,Weekend,Day,Yes,No
20243160,2024,12,Weekend,Day,Yes,No
20243209,2024,12,Weekend,Day,Yes,No
20244001,2024,12,Weekend,Day,Yes,No
20243243,2024,12,Weekend,Day,No,No
20246016,2024,12,Weekend,Day,No,No
20241119,2024,12,Weekend,Day,No,No
20241169,2024,12,Weekend,Night,No,No
20241291,2024,12,Weekend,Night,No,No
20243036,2024,12,Weekend,Night,No,No
20244026,2024,12,Weekend,Day,No,No
20241077,2024,12,Weekend,Day,No,No
20241028,2024,12,Weekend,Day,No,No
20241022,2024,12,Weekend,Day,No,No
20243015,2024,12,Weekend,Day,No,No
20244023,2024,12,Weekend,Day,No,No
20241098,2024,12,Weekend,Day,No,No
20243114,2024,12,Weekend,Day,No,No
20241040,2024,12,Weekend,Day,No,No
20241174,2024,12,Weekend,Day,No,No
20241088,2024,12,Weekend,Day,No,No
20241255,2024,12,Weekend,Night,No,No
20241053,2024,12,Weekend,Night,No,No
20243046,2024,12,Weekend,Night,No,No
20241080,2024,12,Weekday,Night,No,No
20243044,2024,12,Weekday,Day,No,No
20241274,2024,12,Weekday,Day,No,No
20243176,2024,12,Weekday,Night,Yes,No
20241181,2024,12,Weekday,Day,Yes,No
20243110,2024,12,Weekday,Day,Yes,No
20244044,2024,12,Weekday,Day,No,No
20243147,2024,12,Weekday,Day,No,No
20244019,2024,12,Weekday,Night,Yes,No
20241194,2024,12,Weekday,Night,No,No
20241139,2024,12,Weekday,Night,No,No
20241197,2024,12,Weekday,Night,No,No
20243220,2024,12,Weekday,Night,Yes,No
20243267,2024,12,Weekday,Night,No,No
20241057,2024,12,Weekday,Day,No,No
20243174,2024,12,Weekday,Day,Yes,No
20241166,2024,12,Weekday,Day,Yes,No
20243213,2024,11,Weekday,Night,No,No
20241096,2024,11,Weekday,Night,No,No
20242089,2024,11,Weekday,Day,No,No
20243073,2024,11,Weekday,Day,No,No
20241027,2024,11,Weekday,Day,No,No
20241163,2024,11,Weekday,Day,No,No
20243143,2024,11,Weekday,Day,No,No
20241222,2024,11,Weekday,Day,No,No
20241218,2024,11,Weekday,Day,No,No
20243249,2024,11,Weekend,Night,No,No
20243098,2024,11,Weekend,Night,No,No
20241306,2024,11,Weekend,Night,No,No
20243037,2024,11,Weekday,Day,No,No
20244083,2024,11,Weekday,Day,No,No
20241196,2024,11,Weekday,Day,No,No
20244028,2024,11,Weekday,Day,No,No
20243038,2024,11,Weekday,Day,No,No
20242023,2024,11,Weekday,Day,No,No
20242230,2024,11,Weekday,Day,No,No
20242127,2024,11,Weekday,Day,No,No
20242120,2024,11,Weekday,Day,No,No
20241106,2024,11,Weekday,Day,No,No
20241230,2024,11,Weekday,Day,No,No
20241055,2024,11,Weekday,Day,No,No
20241267,2024,11,Weekday,Night,No,No
20242260,2024,11,Weekday,Night,No,No
20242057,2024,11,Weekend,Night,No,No
20243153,2024,11,Weekend,Day,No,No
20242161,2024,11,Weekend,Day,No,No
20241236,2024,11,Weekend,Day,No,No
20243172,2024,11,Weekend,Day,No,No
20241188,2024,11,Weekend,Day,No,No
20243191,2024,11,Weekend,Day,No,No
20241256,2024,11,Weekend,Day,No,No
20242019,2024,11,Weekend,Night,No,No
20243008,2024,11,Weekend,Night,No,No
20243001,2024,11,Weekend,Night,No,No
20243041,2024,11,Weekend,Night,No,No
20244021,2024,11,Weekend,Night,No,No
20243113,2024,11,Weekend,Night,No,No
20241107,2024,11,Weekend,Night,No,No
20243022,2024,11,Weekend,Night,No,No
20248002,2024,11,Weekend,Night,No,No
20242088,2024,11,Weekend,Night,No,No
20241173,2024,11,Weekend,Night,No,No
20241004,2024,11,Weekend,Day,No,No
20246004,2024,11,Weekend,Day,No,No
20241201,2024,11,Weekend,Day,No,No
20241029,2024,11,Weekend,Day,No,No
20243005,2024,11,Weekend,Day,No,No
20241261,2024,11,Weekend,Day,No,No
20244024,2024,11,Weekend,Day,No,No
20241215,2024,11,Weekend,Day,No,No
20243186,2024,11,Weekend,Day,No,No
20243208,2024,11,Weekend,Night,No,No
20241134,2024,11,Weekday,Night,No,No
20243040,2024,11,Weekday,Night,No,No
20241263,2024,11,Weekday,Night,No,No
20241302,2024,11,Weekday,Night,No,No
20241147,2024,11,Weekday,Night,No,No
20243248,2024,11,Weekday,Day,No,No
20243096,2024,11,Weekday,Day,No,No
20241150,2024,11,Weekday,Day,No,No
20241247,2024,11,Weekday,Day,No,No
20241234,2024,11,Weekday,Day,No,No
20242110,2024,11,Weekday,Day,No,No
20242052,2024,11,Weekday,Night,No,No
20243247,2024,11,Weekday,Night,No,No
20243144,2024,11,Weekday,Day,No,No
20241235,2024,11,Weekday,Day,No,No
20243087,2024,11,Weekday,Day,No,No
20244061,2024,11,Weekday,Day,No,No
20241009,2024,11,Weekday,Day,No,No
20241072,2024,11,Weekday,Day,No,No
20243129,2024,11,Weekday,Day,No,No
20242219,2024,11,Weekday,Day,No,No
20241219,2024,11,Weekday,Day,No,No
20244010,2024,11,Weekday,Day,No,No
20244040,2024,11,Weekday,Day,No,No
20243171,2024,11,Weekday,Day,No,No
20242075,2024,11,Weekday,Day,No,No
20243079,2024,11,Weekday,Day,No,No
20241045,2024,11,Weekday,Night,No,No
20243017,2024,11,Weekday,Night,No,No
20241160,2024,11,Weekday,Day,No,No
20241081,2024,11,Weekday,Night,No,No
20241135,2024,11,Weekday,Night,No,No
20241209,2024,11,Weekday,Night,No,No
20242140,2024,10,Weekday,Day,No,No
20242142,2024,10,Weekday,Day,No,No
20243107,2024,10,Weekday,Day,No,No
20243020,2024,10,Weekday,Day,No,No
20241151,2024,10,Weekday,Day,No,No
20243158,2024,10,Weekday,Day,No,No
20241286,2024,10,Weekday,Day,No,No
20243102,2024,10,Weekday,Day,No,No
20241303,2024,10,Weekday,Day,No,No
20246029,2024,10,Weekday,Day,No,No
20248005,2024,10,Weekday,Day,No,No
20244018,2024,10,Weekend,Night,No,No
20241060,2024,10,Weekend,Night,No,No
20242022,2024,10,Weekend,Night,No,No
20241037,2024,10,Weekend,Night,No,No
20241257,2024,10,Weekend,Night,No,No
20241128,2024,10,Weekend,Night,No,No
20243089,2024,10,Weekend,Night,No,No
20242181,2024,10,Weekday,Day,No,No
20243082,2024,10,Weekday,Day,No,No
20243150,2024,10,Weekday,Day,No,No
20243170,2024,10,Weekday,Night,No,No
20243239,2024,10,Weekday,Night,No,No
20242040,2024,10,Weekend,Night,No,No
20243084,2024,10,Weekend,Night,No,No
20241030,2024,10,Weekend,Night,No,No
20243127,2024,10,Weekend,Day,No,No
20243003,2024,10,Weekend,Day,No,No
20243266,2024,10,Weekend,Day,No,No
20241042,2024,10,Weekend,Day,No,No
20243121,2024,10,Weekend,Day,No,No
20241175,2024,10,Weekend,Night,No,No
