crash_id,bus,heavy_truck,articulated_truck
20241115,No,No,No
20241125,No,No,No
20246013,No,No,No
20241002,No,No,No
20243185,No,No,No
20244016,No,No,No
20243168,No,No,No
20246003,No,No,No
20246001,No,No,No
20244081,No,No,No
20241087,No,No,No
20241054,No,No,Yes
20244042,No,No,No
20243246,No,No,No
20241101,No,No,Yes
20241216,No,No,No
20241300,No,No,No
20243007,No,No,No
20241278,No,No,No
20241149,No,No,No
20241068,Yes,No,Yes
20243273,No,No,No
20244020,No,No,No
20244055,No,No,No
20241094,No,No,No
20243160,No,No,No
20243209,No,No,No
20244001,No,No,No
20243243,No,Yes,No
20246016,No,No,No
20241119,No,No,No
20241169,No,No,No
20241291,No,No,Yes
20243036,No,No,No
20244026,No,No,No
20241077,No,No,No
20241028,No,No,No
20241022,No,No,No
20243015,No,No,No
20244023,No,No,No
20241098,No,No,No
20243114,No,No,No
20241040,No,No,No
20241174,No,No,No
20241088,No,No,No
20241255,No,No,No
20241053,No,No,No
20243046,No,No,No
20241080,No,No,No
20243044,No,No,Yes
20241274,No,No,No
20243176,No,No,No
20241181,No,No,Yes
20243110,No,No,No
20244044,No,No,No
20243147,No,No,No
20244019,No,No,No
20241194,No,Yes,Yes
20241139,Yes,No,No
20241197,No,No,Yes
20243220,No,No,No
20243267,No,No,No
20241057,No,No,No
20243174,No,No,No
20241166,No,No,No
20243213,No,No,Yes
20241096,No,No,No
20242089,No,No,No
20243073,No,No,No
20241027,No,No,No
20241163,No,No,No
20243143,No,No,No
20241222,No,No,No
20241218,No,No,No
20243249,No,No,No
20243098,No,No,No
20241306,No,No,No
20243037,No,No,No
20244083,No,No,No
20241196,No,No,No
20244028,No,No,No
20243038,No,No,No
20242023,No,No,Yes
20242230,No,No,No
20242127,No,No,No
20242120,No,No,No
20241106,No,No,No
20241230,No,No,No
20241055,No,No,No
20241267,No,No,No
20242260,No,No,No
20242057,No,No,No
20243153,No,No,Yes
20242161,No,No,No
20241236,No,No,No
20243172,No,No,No
20241188,No,No,No
20243191,No,No,No
20241256,No,No,No
20242019,No,No,No
20243008,Yes,No,No
20243001,No,No,No
20243041,No,No,No
20244021,No,No,No
20243113,No,No,No
20241107,No,No,No
20243022,No,No,No
20248002,No,No,No
20242088,No,No,No
20241173,No,No,Yes
20241004,No,No,No
20246004,No,Yes,Yes
20241201,No,No,No
20241029,No,No,No
20243005,No,No,No
20241261,No,No,No
20244024,No,No,No
20241215,No,No,No
20243186,No,No,No
20243208,No,No,No
20241134,No,No,No
20243040,No,Yes,Yes
20241263,No,No,No
20241302,No,No,No
20241147,No,No,No
20243248,No,No,No
20243096,No,No,No
20241150,Yes,No,No
20241247,No,No,Yes
20241234,No,No,No
20242110,No,No,No
